"","year","Mean Number of Gear","mean_lp100km_city","mean_lp100km_hwy","share4Gear","share5Gear","share6Gear","share7Gear","majorityGear"
"1",1984,3.86703601108033,16.2619944598338,13.2803601108033,0.534626038781163,0.166204986149584,0,0,4
"2",1985,3.94980988593156,14.3041368821293,11.2952851711027,0.438783269961977,0.255513307984791,0,0,4
"3",1986,3.99586349534643,14.4695449844881,11.3924095139607,0.451913133402275,0.271975180972079,0,0,4
"4",1987,4.04887983706721,14.6289816700611,11.4329633401222,0.423625254582485,0.312627291242363,0,0,4
"5",1988,4.14773980154355,14.6589966923925,11.3222601984564,0.426681367144432,0.360529217199559,0,0,4
"6",1989,4.16258351893096,14.9664365256125,11.5367706013363,0.44097995545657,0.357461024498886,0.0022271714922049,0,4
"7",1990,4.21311475409836,15.032131147541,11.5396018735363,0.507025761124122,0.347775175644028,0.00351288056206089,0,4
"8",1991,4.29452852153667,15.1418160651921,11.4776484284051,0.528521536670547,0.376018626309662,0.00465657741559953,0,4
"9",1992,4.31552795031056,15.1901614906832,11.3504472049689,0.518012422360248,0.387577639751553,0.00745341614906832,0,4
"10",1993,4.34053367217281,15.01583227446,11.1930368487929,0.520965692503177,0.392630241423126,0.01143583227446,0,4
"11",1994,4.35665294924554,15.0288340192044,11.1353086419753,0.537722908093278,0.386831275720165,0.0150891632373114,0,4
"12",1995,4.38166894664843,15.0642270861833,11.1609165526676,0.573187414500684,0.373461012311901,0.0205198358413133,0,4
"13",1996,4.3717277486911,14.6282722513089,10.7612216404887,0.586387434554974,0.366492146596859,0.0174520069808028,0,4
"14",1997,4.41489361702128,14.5428191489362,10.6510992907801,0.556737588652482,0.402482269503546,0.0177304964539007,0,4
"15",1998,4.41304347826087,14.5926421404682,10.6493311036789,0.538461538461538,0.41304347826087,0.0183946488294314,0,4
"16",1999,4.42476489028213,14.5308307210031,10.6345297805643,0.531347962382445,0.427899686520376,0.0156739811912226,0,4
"17",2000,4.44936708860759,14.5446835443038,10.7114873417722,0.52373417721519,0.425632911392405,0.0268987341772152,0,4
"18",2001,4.52312138728324,14.631661849711,10.7703612716763,0.471098265895954,0.471098265895954,0.0375722543352601,0,4
"19",2002,4.55748663101604,14.7407219251337,10.8600668449198,0.475935828877005,0.454545454545455,0.0574866310160428,0,4
"20",2003,4.62175525339926,14.6875896168109,10.8439802224969,0.45982694684796,0.451174289245983,0.0865265760197775,0,4
"21",2004,4.73539518900344,14.6954868270332,10.7151775486827,0.423825887743414,0.423825887743414,0.145475372279496,0.00687285223367698,4
"22",2005,4.85682326621924,14.5830089485459,10.5334675615213,0.352348993288591,0.448545861297539,0.189038031319911,0.0100671140939597,5
"23",2006,4.96670776818742,14.6975339087546,10.5999013563502,0.324290998766954,0.414303329223181,0.231812577065351,0.0295930949445129,5
"24",2007,5.08131067961165,14.7474878640777,10.5999029126214,0.298543689320388,0.365291262135922,0.29247572815534,0.0436893203883495,5
"25",2008,5.19647058823529,14.6684941176471,10.4706588235294,0.249411764705882,0.356470588235294,0.342352941176471,0.0517647058823529,5
"26",2009,5.33924349881797,14.3360047281324,10.2345035460993,0.204491725768322,0.319148936170213,0.408983451536643,0.0673758865248227,6
"27",2010,5.5058064516129,13.7937677419355,9.80642580645161,0.166451612903226,0.263225806451613,0.473548387096774,0.0916129032258065,6
"28",2011,5.71173469387755,13.8008035714286,9.84670918367347,0.130102040816327,0.211734693877551,0.502551020408163,0.10969387755102,6
"29",2012,5.90037359900374,13.5292777085928,9.6067496886675,0.099626400996264,0.169364881693649,0.519302615193026,0.136986301369863,6
"30",2013,6.12468513853904,13.0040931989924,9.22217884130982,0.0579345088161209,0.139798488664987,0.515113350125945,0.158690176322418,6
"31",2014,6.32349323493235,12.7115129151292,9.01077490774908,0.038130381303813,0.107011070110701,0.494464944649447,0.180811808118081,6
